timestamp,temperature_c,humidity_perc,pressure_hpa,rainfall_mm,status
2025-11-15T21:31:07.515732,27.6,81.0,1015.85,102.0,Dry
2025-11-15T21:31:12.533257,27.6,81.0,1015.81,102.2,Dry
2025-11-15T21:31:17.552007,27.6,81.0,1015.85,102.2,Dry
2025-11-15T21:31:22.570869,27.6,81.0,1015.83,102.2,Dry
2025-11-15T21:31:27.589450,27.6,81.0,1015.88,102.2,Dry
2025-11-15T21:31:32.608309,27.6,81.0,1015.84,102.0,Dry
2025-11-15T21:31:37.625903,27.6,81.0,1015.87,102.3,Dry
2025-11-15T21:31:42.644627,27.6,81.0,1015.85,102.2,Dry
2025-11-15T21:31:47.663392,27.6,81.0,1015.87,102.3,Dry
2025-11-15T21:31:52.682183,27.6,81.0,1015.85,102.2,Dry
2025-11-15T21:31:57.700849,27.6,81.1,1015.86,102.1,Dry
